artist_name,listeners,playcount,bio_summary
Aimer,470501,24216937,"There are at least 4 artists who go by Aimer: 1. Aimer (エメ, pronounced eh-meh) is a Japanese pop singer and lyricist signed to SACRA MUSIC and managed by agehasprings. She played piano in elementary school and picked up the guitar in junior high school. She writes music in both Japanese and English and has a good command of English from her experiences living abroad. 2. AIMER (Sometimes stylised as ""AiMER"") is a Dubstep producer and DJ from Brisbane, Australia."
T.O.P.,55561,885267,
Junco,12945,111209,"There are two musical artists on Last.fm using the name Junco. Flamenco artist from Cadiz Junco is an electronic music duo from Chicago Illinois. Long time friends, they united to create music in 2003 and released their first EP, Saving What We Have, in early 2007. Their work is influenced by Boards of Canada, DJ Shadow, and others."
Herencia de Timbiqui,19470,237415,
Christina Aguilera,4417292,206260988,"Christina María Aguilera (born December 18, 1980) is an American singer, songwriter, actress, and television personality. She is recognized for her vocal range, artistic reinvention, and the incorporation of varied themes into her music, and has received broad public and critical attention throughout her career. She has been referred to as the ""Voice of a Generation"" and was named a Disney Legend for her contributions to the Walt Disney Company."
Future,3159388,446902726,"Nayvadius DeMun Cash (born Nayvadius DeMun Wilburn), better known by his stage name Future, is an American rapper, singer, songwriter, and record producer from the Kirkwood neighborhood of Atlanta, Georgia. After releasing a series of moderately successful mixtapes between 2010 and 2011, Future signed a major label deal with Epic Records and fellow American rapper Rocko's A1 Recordings, which helped launch his label imprint Freebandz. Future subsequently began working on his debut studio album"
T-Pain,2281004,28685086,"Faheem Rasheed Najm (born September 30, 1985 in Tallahassee, Florida), better known by his stage name T-Pain, is a prolific American singer, producer, and writer. At the age of ten he turned his bedroom into a small studio with a keyboard, beat machine and four-track recorder, and he began his career as a rapper in the group Nappy Headz. In 2005 he released his debut album Rappa Ternt Sanga, and has since released 2007's Epiphany and 2008's Thr33 Ringz."
Kamembert,373,1337,
Childish Gambino,3730092,317608600,"Donald McKinley Glover, Jr (born September 25, 1983) is an American actor, comedian and musician. As a recording artist, he usually performs with the stage name Childish Gambino. While a disk jockey, he performs as mcDJ. He first came to attention for his work with Derrick Comedy and with the help of Tina Fey, was hired at the age of 21 to become a writer for the NBC comedy series 30 Rock. He later played college student Troy Barnes on the NBC sitcom Community."
El biri,597,3238,
Birdman,1289304,8347167,"Bryan Williams (born February 15, 1969), better known by his stage name Birdman or Baby, is an American rapper and record executive from New Orleans, Louisiana. He is the co-founder of Cash Money Records and one half of the duo Big Tymers. Along with his releases with Big Tymers and for his solo career, Birdman recorded a collaboration album and numerous tracks with Lil Wayne. Birdman was born and raised in Uptown New Orleans. With his brother Ronald ""Slim"" Williams, Birdman founded Cash Money Records in 1991."
Olly Murs,1525863,23601265,"Oliver Stanley ""Olly"" Murs (born May 14, 1984 in Witham, Essex, England) is an English singer-songwriter. He achieved second place on the sixth series of The X Factor in 2009. In early 2010, he was signed to Syco Music and Epic Records, which are owned by Sony Music. After he toured with X Factor Finalists tour, he began recording his debut album. Murs' debut single, ""Please Don't Let Me Go"" charted at number one on the UK Singles Chart, after releasing it on 27 August, beating Katy Perry's ""Teenage Dream"" to the #1 spot."
Saad Lamjarred,62808,948045,"Saad Lamjarred was born on April 7, 1985, in Rabat, Morocco. He is the son of Moroccan singer Bachir Abdou and actress Nezha Regragui. He enrolled at the National Conservatory of Music to pursue his passion for music. In 2007, he gained widespread recognition as one of the top contestants on the television program ""SuperStar,"" finishing in second place. This marked the beginning of his artistic career. A year later, he participated in the Lebanese competition ""Lamine Al Oughnia"" with the song ""Bahib Illi Bikraheni."
Sam Smith,3039893,111473852,"Samuel Frederick Smith (born 19 May 1992) is an English singer and songwriter. They rose to prominence in October 2012 after being featured on Disclosure's breakthrough single ""Latch"", which peaked at number eleven on the UK Singles Chart. Smith was subsequently featured on Naughty Boy's ""La La La"", which became a number one single in May 2013. In December 2013, they were nominated for the 2014 Brit Critics' Choice Award and the BBC's Sound of 2014 poll, winning both."
Chino & Nacho,240299,2452459,"Chino & Nacho is a Venezuelan pop duo, consisting of Jesús Alberto Miranda Perez (Chino - born November 15, 1984) and Miguel Ignacio Mendoza (Nacho - born August 22, 1983). In 2010, the group won the Latin Grammy Award under the category of Best Urban Music Album for their album, Mi Niña Bonita. Before making a duo, Chino and Nacho were both part of a boy band Calle Ciega. That was where they started their musical career, and released five albums, and had their hit single, Mi Cachorrita."
Girl's Day,313033,10714474,"Girl's Day (걸스데이) is a South Korean all-girl quartet signed with DreamTea Entertainment. Initially gaining public interest performing dance flash mobs in the streets of Seoul, they debuted in July 2010 with the release of their first song, ""갸우뚱"", an electro-pop song. The current lineup is made up of Sojin (소진), Minah (민아), Yura (유라), and Hyeri (혜리). In September 2010, it was announced that two members of the original lineup, Ji Sun and Ji In, would be leaving to pursue other activities."
Matisse,136496,2016372,"There are at least 7 artists with the name ""Matisse"": 1. Matisse is a Mexican pop band formed in 2014 and consisting of Pablo Preciado, Román Torres, and Melissa Robles. They have released six studio albums, and have scored hits with the songs ""Eres tú"", ""Cuando Te Encontre"", and ""Acuérdate de Mi"", 2. Matisse are an English language-singing alternative rock band from Athens, Greece formed in 1999. Matisse was originally formed in 1997 by Aris Siafas"
Fanny Lu,165315,1715145,"Actress and musician Fanny Lú was born in Cali, Colombia, where she attended the Bolivar High School before moving to France to finish her primary education. Upon returning to Latin America, she studied at the University of the Andes, graduating with a degree in industrial engineering. While still in college, Lú maintained a television career, beginning in 1994 as a presenter on the popular show Locomotora. Her experience on the show gave her countless opportunities to work around musicians and even make forays into production work"
Bossa Curve,2443,8458,
Miley Cyrus,4772200,294882751,"Miley Ray Cyrus (born Destiny Hope Cyrus; November 23, 1992) is an American singer, songwriter, and actress. Regarded as a pop icon, Cyrus has been recognized for her evolving artistry and image reinventions. She is a daughter of singer Billy Ray Cyrus, and deemed one of the few examples of a child star with a successful entertainment career as an adult. Cyrus emerged as a teen idol as the title character in the Disney Channel television series Hannah Montana (2006–2011), which evolved into a commercially successful franchise."
Bigal & L Jake,2148,13918,
Tom Boxer,50911,359849,"Tom Boxer (real name Cosmin Simionic) is a Romanian singer, DJ, music producer and composer. He is famous for his dance hit singles Brasil and Morena. Before he discovered his passion for composing, he started playing guitar since the age of five. To learn how to make club music Tom decided to leave his native country and go to Great Britain. On his return he released his album Zamorena recorded with jazz vocalist Anca Parghel. The album contains 10 house and dance songs and 3 remixes. Boxer's next album from 2009 has reggae mixes."
Pitbull,4322971,104562706,"Armando Christian Pérez (born January 15, 1981 in Miami, Florida), better known by the stage name Pitbull , is an American rapper signed to his own label, Mr 305 Inc. The Give Me Everything (Tonight) Songfacts reports that he adopted his canine moniker because, ""They bite to lock. The dog is too stupid to lose. And they're outlawed in Dade County. They're basically everything that I am. It's been a constant fight."" His first recorded performance was on Lil Jon & the East Side Boyz album Kings of Crunk in 2002"
Franco Sattamini,1181,4540,
Renee Olstead,226024,1738844,"Rebecca Renee Olstead (born June 18, 1989) is an American actress and singer. Active since childhood as an actress, she is best known for her roles in the TV sitcoms Still Standing as Lauren Miller and The Secret Life of the American Teenager as Madison Cooperstein. In addition, she has recorded five studio albums, primarily of jazz music. Renee developed a great love for music at an early age and honed her voice by singing along with the radio. Before long she was entering talent contests and appearing in"
Psy,1638719,34535967,"Park Jae-sang (Korean: 박재상; Hanja: 朴載相, IPA: [pɐk̚.t͡ɕεsɐŋ]; born December 31, 1977), known professionally as Psy (stylized in all caps) (싸이; /saɪ/ SY; Korean: [s͈ai]), is a South Korean singer, rapper, songwriter, and record producer. Psy is known domestically for his humorous videos and stage performances, and internationally for his hit single ""Gangnam Style"". The song's refrain was entered into The Yale Book of Quotations as one of the most famous quotations of 2012.[2]"
Vinícius,105289,438564,Vinícius de Moraes
Robin McKelle & The Flytones,3049,19113,"Some have one life; others two or even three. During her singing career, Robin McKelle has been through more than one renaissance. She came to the public eye with a first album called Introducing Robin McKelle (2006), followed by Modern Antique (2008) ‐ two big‐band swing sessions. “I’d recorded a demo, tapes to get dates. They ended up on a record‐company desk and the first album was released with all the positive spin that followed. I can’t say I have any regrets: I started touring all over the world"
Squeeze,710679,9344907,"Squeeze are an English pop rock band formed in London, England in 1974. The band was formed by songwriters Glenn Tilbrook (vocals, guitar) and Chris Difford (guitar, vocals) who have been the group's only constant members since the band's formation (with the exception of Difford's hiatus from the band in 1999). Aside from Difford and Tilbrook, the band currently consists of Stephen Large (keyboards), Lucy Shaw (bass) and Simon Hanson (drums). The group initially split in 1982, but reunited in 1985 until splitting once more in 1999."
Estopa,306867,8813831,"Estopa is a pop/flamenco duo founded in 1999 by brothers José and David Muñoz of Cornellà de Llobregat (Baix Llobregat), Catalonia. Their first album, Estopa, has sold well over 1,000,000 copies to date (the equivalent of an American platinum album) and their latest, Voces de Ultrarumba, sold more than 200,000 copies on its first day of release. Their playful, Rumba-tinged compositions have made them one of the most successful pop groups in Spanish history, in terms of both album sales and critical acclaim."
Sara Bareilles,2152381,46455586,"Sara Beth Bareilles (born December 7, 1979) is a Grammy-winning American singer-songwriter, pianist, Broadway composer, actress, and TV producer and writer. Bareilles was born and raised in Eureka, California, United States. After graduating from UCLA in 2002, Bareilles performed at local bars and clubs. She issued two demos of mostly live tracks in 2003: The First One in April and The Summer Sessions in October. In January 2004, Bareilles released her first studio album, Careful Confessions."
Maribou State,635629,14651865,"Maribou State is Chris Davids and Liam Ivory from Hertfordshire. Liam asked Chris to play bass for his band. When they moved up north to go to university, the band fell by the wayside and the pair began making electronic music in their home studio, forging a partnership that would soon become Maribou State. In the summer of 2011 they were scouted by Fat! Records and put out their debut release, the 'Olivia' EP, which set a blueprint for Maribou State's trademark bass-heavy, melodic sound."
Silver Pozzoli,33015,166709,"Silvio Pozzoli, also known as Silver Pozzoli is one of the most important Italo Disco artists active from 1985 until 1994. Silvio was born in Milano, Italy in 1953. He recorded also with pseudonyms like ""Club House""; with this name he made some dance and italo-house records: ""I'm a man medley Yeke Yeke"" was one of those records, in 1987. Even, Silver did vocals on some Den Harrow's tunes. Silver Pozzoli released several hits like ""Around My Dream"", ""Step By Step"", ""Chica Boom"", ""With Or Without You"" or ""Don't Forget Me""."
Doe B.,30,1299,
Kovacs,120252,2003778,"There are at least three acts called Kovacs: 1. a singer songwriter, Sharon Kovacs, and her band, based in Eindhoven, The Netherlands 2. a six-piece band from Liverpool, United Kingdom 3. a band from Leeds, United Kingdom 1. Kovacs from Eindhoven, The Netherlands, is singer-songwriter, Sharon Kovacs, who signed a contract with Warner Music in 2014. She uses Kovacs as her artist's moniker and also refers to her backing band as Kovacs. Kovacs has a soulful voice with hints of Beth Gibbons, Shirley Bassey and Edith Piaf."
Michael Bublé,3531298,89370687,"Michael Steven Bublé (born September 9, 1975) is a Canadian singer and songwriter known for his interpretations of traditional pop standards and his contributions to reviving interest in the Great American Songbook. He has sold over 75 million records globally and received numerous accolades, including five Grammy Awards and fifteen Juno Awards. Bublé's self-titled debut album was released in 2003 and reached the top ten in Canada and the United Kingdom."
B.o.B,3142348,46043614,"Bobby Ray Simmons (born November 15, 1988 in Decatur, Georgia, USA), better known by his stage name B.o.B, is a Grammy Award-nominated American rapper, singer, producer and conspiracy theorist, signed to T.I.'s Grand Hustle Label and Atlantic Records. In 2007 he released his debut EP, Eastside, and has since released another EP, 12th Dimension, and five mixtapes. His debut album, B.o.B Presents The Adventures of Bobby Ray, was released in April 2010 and debuted at #1 on the Billboard 200."
Charli xcx,3686103,689662594,"Charlotte Emma Aitchison (born 2 August 1992), known professionally as Charli xcx, is a British pop singer and songwriter. She began sharing her music on Myspace in 2008 before entering the London rave scene. In 2010, she signed with Asylum Records and released a series of singles and mixtapes. In 2012, she was featured on ""I Love It"" by the Swedish duo Icona Pop, which became her first UK number-one single and achieved international success. Her debut studio album"
Zone Tripper,12005,71923,"Zone Tripper is a retro wave synth project by Roy Julian Digre aka Technomancer, focusing on retro danceable beats and catchy melodies. Unlike his other projects, it is largely instrumental, featuring sparse to no vocals."
Bruno Mars,5124119,282610924,"Peter Gene Hernandez (born October 8, 1985 in Honolulu, Hawaii, USA), known professionally as Bruno Mars, is an American singer, songwriter, record producer, musician, and dancer. He is known for his stage performances, retro showmanship, and for performing in a wide range of musical styles, including pop, R&B, funk, soul, reggae, disco, and rock. Mars is accompanied by his band, the Hooligans, who play a variety of instruments, such as electric guitar, bass, piano, keyboards, drums, and horns, and also serve as backup singers and dancers."
Cashmere Cat,783821,11167838,"Magnus August Høiberg, best known as Cashmere Cat, is a Norwegian musician, producer and DJ (representing Norway in the DMC World DJ Championships as DJ FINAL 2006-2009). He appeared on the international electronic dance music scene in 2012, with remixes/edits of Lana Del Rey, 2 Chainz and Jeremih. His debut EP ""Mirror Maru"" was released in October 2012 on the Belgian Pelican Fly label. Cashmere Cat's take on seductive R&B, futuristic hip-hop and"
DJ Bobo,381497,3904741,"Peter René Baumann (born January 5, 1968), known by his stage name DJ BoBo, is a Swiss singer, songwriter, rapper, dancer, voice actor, and music producer. He has sold an estimated 14 million records worldwide and has released 12 studio albums, along with several compilation albums featuring reworked versions of his earlier hits. His discography also includes 34 singles, many of which achieved chart success in German-speaking countries as well as other parts of Europe."
Block B,367509,13895461,"Block B is a 7-member South Korean hip-hop group that was created by 조PD, previously under the label Stardom Entertainment. Block B filed a lawsuit against the label in January 2013, which they lost. An agreement was reached nevertheless. They left Stardom Entertainment and came back in September 2013 under the label Seven Seasons. Their first single album ""Do U Wanna B?"", along with the title's track MV '그대로 멈춰라!' (Freeze), were released on April 14th, 2011."
Rajat Arora,112,2441,
Toco,234174,2340461,"Tomaz di Cunto aka Toco was born in São Paulo and started playing guitar when he was a young boy. While studying Science Of Communication at the Faap University of Sao Paulo, he worked for a TV program called “Ensaio” dedicated to Brazilian music. The director of this show is Fernando Faro, who introduced him to artists such as Chico Buarque, Caetano Veloso and more. In ’99 Toco left the TV program and started to follow some musical productions."
ChocQuibTown,89564,868444,"Choc Quib Town es una agrupación que conjuga el sonido rural con el hip hop. Rumba, flow y mucha energía, eso es lo que proyectan estos jóvenes que vienen desde el pacifico en cada aparición. Un sonido autentico lleno de calle y alegría, de bembé y matices de la selva espesa afro colombiana. Choc Quib Town (Chocó Quibdo Nuestro pueblo). Con su nombre rinden homenaje a la tierra donde nacieron, Chocó, zona de sabor y de corazones abiertos, de lagrimas y de mucha lucha y de gente con deseos de superación."
James Arthur,1766333,47231368,"James Andrew Arthur (born 1988) is a British singer and musician who won the ninth series of The X Factor in 2012. His debut single, Impossible, was released after the final and debuted at #1 on the UK Singles Chart on 16 December 2012 in its first week of release. Since 2005, and prior to his participation in The X Factor, he was a vocalist and guitarist in a number of bands, and later, as a solo artist as well as forming his own The James Arthur Band and James Arthur Project."
Vinícius de Moraes,379334,4250200,"Vinicius de Moraes, o poetinha (""the little poet""), (October 19, 1913 — July 9, 1980), born Marcus Vinicius da Cruz de Melo Morais in Rio de Janeiro, Brazil, was a seminal figure in contemporary Brazilian music (mpb. As a poet, he wrote lyrics for a great number of songs that became all-time classics. He was also a composer, a playwright, a diplomat and, as an interpreter of his own songs, he left several important albums. From a musical family, Vinicius began writing poetry early in life."
Holly Walker,23693,130901,Holly Walker is a British singer-songwriter based in London. She is co-writer and vocalist with Maribou State.
Juanes,1189868,21411849,"Juan Esteban Aristizábal Vásquez (born August 9, 1972), best known as Juanes, is a rock musician from Medellín, Colombia. When he was younger, his father started calling him Juanes, rather than Juan, a contraction of his two first names Juan and Esteban. As his friends grew to know him by this name, he chose to keep it for his musical career, which started when he, Andrés García, Fernando ""Toby"" Tobón and José David Lopera, formed the rock band Ekhymosis in 1988."
Ty Dolla $ign,1630869,28926368,"Tyrone Griffin (born April 13, 1982), better known by his stage name Ty Dolla Sign (stylized as Ty Dolla $ign or Ty$), is an American singer, rapper and producer from Los Angeles, California. He is currently signed to Wiz Khalifa's Taylor Gang Records and Atlantic Records. The son of a musician from Lakeside, Ty Dolla $ign originally began his career in music by learning the bass guitar. Since then, he has learned several instruments, from the drums, guitars, and keyboard to the MPC."
2 In A Room,29977,117673,"2 In A Room is a hip hop and house music duo from Washington Heights, New York, which includes rapper Rafael ""Dose"" Vargas and producer/remixer Roger ""Rog Nice"" Pauletta. They are best known for their 1990 hit ""Wiggle It"", which spent two weeks at #1 on the Hot Dance Music/Club Play chart (#3 in the UK) and then crossed over to mainstream radio and climbed to #15 on the Hot 100, eventually becoming a gold single. ""El Trago (the Drink)"" was a #86 Hot 100 chart entry (the last of their pop hits)"
Elvis Crespo,556446,4226056,"Elvis Crespo (born July 30, 1971 in New York City, U.S.A.) is a Grammy Award and Latin Grammy Winner Puerto Rican-American Merengue singer. He was named ""Elvis"" after American singer Elvis Presley. When he was young, he and his mother moved to Caguas, Puerto Rico, where Crespo spent his childhood and adolescent years. Crespo first gained fame in the mid-90s when he joined Grupo Mania, in Puerto Rico. Eventually he decided to try to go solo in 1998."
Maki,135547,6396230,"There are many artists with this name: [br] [br] 1) Alternative / city pop singer-songwriter Maki shares his music to the world with easy and melodic tunes despite his songs being heartbreaking and painful. His biggest 2023 song “ Saan?” has brought him to different places in the Philippines, and has captured both local and international audiences. Penning Tanong EP that put him to where he is, another question is posed - where will he go next?"
SOYOU,249715,3243498,"Kang Ji-hyun (Hangul: 강지현; born February 12, 1992), better known by her stage name Soyou (소유), is a South Korean singer. She is best known as a former member of the South Korean girl group SISTAR under Starship Entertainment. Soyou was a Cube Entertainment trainee before debuting with Sistar and was originally supposed to debut as a member of 4Minute. Soyou has said that she didn't make it into the group because she was lacking in many ways."
Cali Y El Dandee,210179,2883756,
AOA,634838,24757467,"There are at least four artists with this name. 1. AOA (Hangul: 에이오에이; an acronym for ""Ace of Angels"") is a South Korean girl group formed under FNC Entertainment. They debuted as an eight-member group consisting of Choa (초아), Dohwa (도화) (previously Chanmi (찬미)), Hyejeong (혜정), Seolhyun (설현), Jimin (지민), Mina (민아), Youkyung (유경) and Yuna (유나). Since 2020, the group has been inactive and presumed to be on an indefinite hiatus"
Helene Fischer,230315,5095448,"Helene Fischer (born 5 August 1984) is a Russian born German singer and entertainer. Since her debut in 2005 she has won numerous awards, including 17 Echo awards, 4 ""Die Krone der Volksmusik"" awards and 3 Bambi awards. According to record certifications she has sold at least 15,000,000 albums (As of 11/18). In June 2014, her multi platinum 2013 album ""Farbenspiel"" became the most legally downloaded album by a German artist of all time, and her 2017"
Carlos Vives,625431,8306659,"Before he graduated from Jorge Tadeo Lozano's University with a publicist degree, singer Carlos Vives joined different bands and participated in several plays. In 1982, the artist got a role in the Colombian TV series Tiempo Sin Huella, starting his successful acting career, later extending his professional skills to the Puerto Rican television. After participating in some teen programs as a singer/actor, he got the main role in the telenovela (soap opera) ""Gallito Ramírez,"" which made him a famous actor."
Jennie,1446825,104422910,"Jennie Kim (Hangul: 김제니, born January 16, 1996, in Anyang, South Korea), better known as JENNIE (제니), is a South Korean singer-songwriter, rapper, model, designer, and actress under ODDATELIER and Columbia Records. She is a member of the girl group BLACKPINK (Hangul: 블랙핑크), and made her solo debut on November 12, 2018 with the single album ""SOLO"". Born and raised in South Korea until 2004, JENNIE later lived in New Zealand before returning to South Korea to successfully audition for YG Entertainment in 2010."
Anarbor,638817,10513146,"Soulful, fresh, genre-defying. These are only a few of the terms that immediately spark the mind when greeted with Anarbor’s gutsy and transcending EP, Free Your Mind. When noted that the aforementioned genre is pop-rock, it seems even more special that a band with this talent and bravado would push itself away from a scene where predetermined trappings threaten to undermine its singular integrity. “We know that every single kid out there is tired of the same old dance-pop record that gets released every single week."
Jasmine Thompson,519317,6032689,"Jasmine Thompson (born 8 November, 2000) is a singer from London, United Kingdom. Jasmine is of half English half Chinese descent. Her acoustic reworking of Chaka Khan's Ain't Nobody made #32 on the UK Singles Chart after being featured in an advert for supermarket chain Sainsbury's for their by Sainsbury's range. She plays the piano and guitar, and dances. Her first radio play was in August 2013 on Edith Bowman’s Radio 1 Review Show in which Jasmine won the weekly national online vote “This is my Jam”."
Pets tseng,9542,112677,"Pets Tseng (Chinese: 曾沛慈 | pinyin Cēng Pèicí; born October 21, 1984 in Taipei, Taiwan) is a singer and actress. In 2007, Tseng competed on the second season of singing competition program One Million Star in which she was placed sixth. She made her television debut in K.O.3an Guo (2009) and in 2012 she starred in drama series KO One Return. In 2014, she signed a recording deal with Linfair Records, and released her debut album, I'm Pets, in the same year."
Mike Bahía,79725,1021023,
Tomasito,10854,55755,"Tomasito is originally from Jerez de la Frontera, Spain. Jerez is where the flamenco ""palo"" bulería is most famous. It is a popular music style among namely within the gipsy community, and often sang outside in the streets with great ease and artistry. Nowhere else will you be able to listen anything similar. What makes Tomasito unquique is his Rap-Flamenco fusion dancing, together with his Heavy-Flamenco-Punk mix. He has written famous ""easy listening"" Spanish pop songs, but what he likes best is mixing his roots with AC/DCs and alikes."
Coldplay,9001713,770807020,"Coldplay is a British alternative rock and britpop band formed in London in 1997. They consist of vocalist and pianist Chris Martin, guitarist Jonny Buckland, bassist Guy Berryman, drummer Will Champion and creative director Phil Harvey. They met at University College London and began playing music together from 1996 to 1998, initially calling themselves Starfish. Coldplay's music incorporates elements of soft rock, pop rock, piano rock, and post-britpop."
Robyn,1937832,64171019,"Robyn is the stage name of the Swedish pop singer-songwriter Robin Miriam Carlsson (born 12 June 1979 in Stockholm, Sweden). She is best known for her critically acclaimed electropop music, her impressive live shows and the hits ""With Every Heartbeat"" (#1 UK) and ""Dancing On My Own"" (#8 UK, #1 Sweden). In 2011, the single ""Dancing On My Own"" was nominated at Grammy Awards for the category Best Dance Recording. She is the owner of Konichiwa Records, through which she releases her music, including Robyn and Body Talk."
Christina Perri,1892005,28138421,"Christina Perri, born August 19, 1986 in Philadelphia, Pennsylvania, United States, is a singer-songwriter, guitarist, and pianist. She initially rose to fame with her 2010 debut single ""Jar of Hearts,"" which charted in the top 20 on the Billboard Hot 100 chart after being used in the popular television show, ""So You Think You Can Dance."" Perri grew up in Bensalem, Pennsylvania (a suburb of Philadelphia) with her older brother, Nick Perri, who formerly played guitar with Shinedown, among other artists."
Andrew Bird,1643177,69293221,"Andrew Bird (born July 11, 1973) is an American musician. He was born in Lake Bluff, Illinois but currently resides in the Los Angeles area. Bird is a singer, a violinist and, since 2004, a guitarist. He is also an accomplished whistler. His early work, which echoed gypsy jazz and traditional folk, has led into his current sound, which mixes rock with more broad compositions. His years of solo song-craft have now enabled him to produce a sound that is uniquely his own."
The Weeknd,5216295,1088910210,"Abel Makkonen Tesfaye, popularly known as The Weeknd (born February 16, 1990 in Toronto, Ontario, Canada), is a Canadian R&B/hip-hop musician, singer-songwriter and record producer. He chose his stage name in tribute to when he was 17 years old, when, along with his friend La Mar Taylor, he dropped out of high school, took his mattress, and ""left one weekend and never came home"". However, his estranged former producer Jeremy Rose claims the name was his idea."
French Montana,1930431,28934164,"Karim Kharbouch (born November 9, 1984), better known by his stage name French Montana, is a Moroccan-American rapper. Born and raised in Morocco, he immigrated to the United States with his family at the age of 13. He embarked on a musical career in 2002, releasing a slew of independent material until signing a joint-venture record deal with Puff Daddy's Bad Boy Records and Rick Ross's Maybach Music Group in 2012. Kharbouch released his debut mixtape in 2007 and had his first breakthrough with the single ""Choppa Choppa Down"" in 2010."
Gigi D'Agostino,1022571,15142026,"Luigino Celestino di Agostino (born 17 December 1967), known professionally as Gigi D'Agostino, is an Italian DJ and music producer. He began his career in 1986 as a DJ specialising in Italo disco. His most successful releases include ""Bla Bla Bla,"" ""Another Way,"" his cover of Nik Kershaw's ""The Riddle,"" ""La Passion,"" ""Super,"" and ""L'Amour Toujours,"" all released between 1999 and 2000. The melody of ""L'Amour Toujours"" was later used in the 2018 remix and mashup ""In My Mind."""
2001:Canarias,267,877,
Shy Carter,17365,73670,
Omega,326056,3661420,The are multiple artists called Omega: 1. A Hungarian progressive and hard rock band 2. An alias of techno musician Naoki 3. A Lithuanian pop group 4. An American rapper 5. A dubstep artist 6. A British metal band 7. A Greek black/thrash/speed metal band 8. A Dominican mambo singer 9. A Chilean rapper 10. An Italian black/avantgarde/ambient metal band 11. A Beat rock ensemble from Estonia 1. Omega is one of the most successful Hungarian rock bands.
Pink Martini,764866,13052061,"Pink Martini is a 13-member ""little orchestra"" from Portland, Oregon, formed in 1994 by pianist Thomas Lauderdale. They draw inspiration from music from all over the world – crossing genres of classical, jazz and old-fashioned pop. Pink Martini has twelve instrumentalists (and sometimes travels with string sections), and performs its multilingual repertoire on concert stages and with symphony orchestras throughout Europe, Asia, the Middle East, Northern Africa, Australia and New Zealand and North America."
Nick Jonas,1290274,21745403,"Nicholas Jerry ""Nick"" Jonas (born September 16, 1992) is an American singer-songwriter and actor best known as one of the Jonas Brothers, a pop-rock band he formed with his brothers Joe and Kevin. After 2010, Nick has focused primarily on his own career, releasing solo material, appearing in musicals, and acting in film and television. A performer since the age of seven (the age at which he joined the Broadway cast of Annie Get Your Gun), Nicholas made his songwriting debut in 2002"
